 -----Test Name  T3-2015 Blonde Monent,,,,,,,,,,
 -----Measure Parameters    PTVEC,,,,,,,,,,
 -----Test Code  T3,,,,,,,,,,
 -----Scan Type   Linear,,,,,,,,,,
 -----Periods  00_00:10:00.00,,,,,,,,,,
 -----Memory Wrap  True,,,,,,,,,,
 -----Broadcast Normal Log  False,,,,,,,,,,
 -----Broadcast Alarm Log  False,,,,,,,,,,
 -----Alarm Scan  Disabled,,,,,,,,,,
 -----Scanned Upto =  30000,,,,,,,,,,
 -----Firmware Version  2.4,,,,,,,,,,
 -----TruWare v1.78,,,,,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
ID,Name,Address,Time of Acquisition,Elapsed(Sec),Level(cmH2O),Temperature ('C),Battery Voltage(Volt),Supply Voltage(Volt),Conductivity(uS/cm),Scan No
0,1404704,0,'11/18/2015 12:25:00.00 PM,15265500,13.73733627,9.494,3.516,0,147,23413
0,1404704,0,'11/18/2015 12:40:00.00 PM,15266400,13.72552139,9.489,3.516,0,146.9,23414
0,1404704,0,'11/18/2015 12:55:00.00 PM,15267300,13.73410124,9.486,3.516,0,147,23415
0,1404704,0,'11/18/2015 01:10:00.00 PM,15268200,13.72903772,9.482,3.516,0,147.2,23416
0,1404704,0,'11/18/2015 01:25:00.00 PM,15269100,13.70955722,9.492,3.516,0,147.4,23417
0,1404704,0,'11/18/2015 01:40:00.00 PM,15270000,13.71940296,9.487,3.516,0,147.3,23418
0,1404704,0,'11/18/2015 01:55:00.00 PM,15270900,13.69964116,9.487,3.516,0,147.4,23419
0,1404704,0,'11/18/2015 02:10:00.00 PM,15271800,13.69492927,9.487,3.516,0,147.7,23420
0,1404704,0,'11/18/2015 02:25:00.00 PM,15272700,13.70336848,9.487,3.516,0,147.7,23421
0,1404704,0,'11/18/2015 02:40:00.00 PM,15273600,13.69485894,9.49,3.516,0,147.7,23422
0,1404704,0,'11/18/2015 02:55:00.00 PM,15274500,13.69739071,9.484,3.516,0,147.9,23423
